Creation Time : 04/07/26 14:32
Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,sw_id,pdm_id,iat,fuel_press,lamda,gear,batt_volt,digital,ect,oil_press,fuel_consump,rear_left_speed,ecu_temp,oil_temp,map,tp,rear_right_speed,engine_in,engine_rpm,carter_temp
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
sec,g,g,g,dps,dps,dps,,,C,kPa,,,V,,C,kPa,ccmin^-1,kph,C,C,kPa,%,kph,C,rpm,C
04/07/2026 14:32:14.250, 0.14835199713707,-0.0405040010809898,0.986247956752777,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.250, ,,,-0.0700000002980232,-0.0350000001490116,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.262, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.312, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.350, 0.150792002677917,-0.0409919992089272,0.985759973526001,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.350, ,,,-0.0175000000745058,-0.0525000020861626,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.362, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.396, ,,,,,,,0,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.397, ,,,,,,119,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.412, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.450, 0.152255997061729,-0.0395279973745346,0.982831954956055,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.451, ,,,-0.0700000002980232,-0.140000000596046,0.227500006556511,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.462, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.512, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.550, 0.149327993392944,-0.0356239974498749,0.99210399389267,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.551, ,,,-0.105000004172325,-0.157499998807907,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.562, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.612, ,,,,,,,,52,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:14.612, ,,,,,,,,,56,,,,,,1,,,,,95,,,,,
04/07/2026 14:32:14.612, ,,,,,,,,,,0,,,,,,0,,,,,1,,,,
04/07/2026 14:32:14.612, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.613, ,,,,,,,,,,,,13,,,,,,38,,,,,2,,0
04/07/2026 14:32:14.613, ,,,,,,,,,,,,,0,,,,,,,,,,,,
04/07/2026 14:32:14.650, 0.147376000881195,-0.0458719991147518,0.994055986404419,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.651, ,,,-0.0525000020861626,-0.0350000001490116,0.21000000834465,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.662, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.712, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:14.750, 0.147863999009132,-0.0331839993596077,0.994055986404419,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.751, ,,,-0.0525000020861626,-0.122500002384186,0.227500006556511,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:14.762, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
